filename	label	span_ini	span_end	term	code	sem_rel	is_abbrev	is_composite	need_context
es-S0210-48062005000300014-1	SINTOMA	900	955	(áreas de necrosis) con distorsión del parénquima renal	767094002	NARROW	False	False	False
S0004-06142006000500002-2	SINTOMA	819	851	a nivel hepático varias imágenes	442684004	EXACT	False	False	True
es-S0212-71992005000600008-1	SINTOMA	825	921	Abdomen blando y depresible, doloroso a la palpación en hipocondrio derecho y zona periumbilical	301404009	EXACT	False	False	False
es-S1137-66272011000300024-1	SINTOMA	1022	1085	Abdomen blando y depresible, no doloroso, sin masas ni megalias	163133003	EXACT	False	False	False
es-S0212-71992000001200006-1	SINTOMA	762	816	abdomen discreta y difusamente doloroso a la palpación	440220007	EXACT	False	False	False
es-S1130-01082006000900014-1	SINTOMA	399	438	abdomen doloroso en hipocondrio derecho	301367001	EXACT	False	False	False
es-S1130-01082010000200011-1	SINTOMA	459	516	abdomen era blando y depresible, con dolor a la palpación	440220007	EXACT	False	False	False
es-S0210-48062005000300014-1	SINTOMA	448	479	abdomen fue blando y depresible	249543005	EXACT	False	False	False
es-S0211-69952012000700028-1	SINTOMA	960	977	abdomen globuloso	60728008	EXACT	False	False	False
es-S0210-48062005000400012-1	SINTOMA	618	635	abdomen globuloso	60728008	EXACT	False	False	False
es-S0213-12852006000600002-1	SINTOMA	1713	1752	abdomen se presentaba blando e indoloro	249543005	EXACT	False	False	False
es-S0004-06142008000300012-1	SINTOMA	523	552	Abdomen sin masas ni megalias	163133003	EXACT	False	False	False
es-S1137-66272016000300010-1	SINTOMA	920	975	Abdomen: blando, depresible, no doloroso a la palpación	163133003	EXACT	False	False	False
es-S1130-01082008001000008-1	SINTOMA	245	291	abombamiento de todo el recto anterior derecho	871692005	NARROW	False	False	True
es-S1698-44472004000400011-1	SINTOMA	505	559	abultamiento de la cortical vestibular de la mandíbula	441708007	NARROW	False	False	False
es-S0210-48062009000400015-2	SINTOMA	35	46	accidentado	417746004	EXACT	False	False	True
es-S1130-63432014000500008-1	SINTOMA	1999	2026	acortándose el intervalo QT	77867006	EXACT	False	False	False
es-S1137-66272013000100024-1	SINTOMA	173	191	actitud antiálgica	111953009	EXACT	False	False	False
es-S0376-78922007000300006-3	SINTOMA	261	292	actitud en semiflexión del dedo	424478004	EXACT	False	False	True
es-S0365-66912007000100010-1	SINTOMA	1623	1650	actividad a nivel orbitario	246912006	NARROW	False	False	True
es-S1130-01082005001200011-1	SINTOMA	2688	2735	actividad bioeléctrica cerebral de fondo normal	164717000	EXACT	False	False	False
es-S1130-01082005001200011-1	SINTOMA	4532	4570	actividad bioeléctrica de fondo normal	164717000	EXACT	False	False	True
es-S1137-66272012000300023-1	SINTOMA	1058	1139	actividad en zona de intestino delgado a nivel de ileon, ciego o colon ascendente	85919009	NARROW	False	False	True
es-S0376-78922009000300005-1	SINTOMA	425	449	actividad sexual regular	228453005	EXACT	False	False	False
es-S0212-71992004001100006-1	SINTOMA	3072	3114	actividades lentas intermitentes frontales	274521009	NARROW	False	False	True
es-S0212-71992005000600008-1	SINTOMA	2190	2245	acúmulos hipercaptantes en esqueleto axial y periférico	88230002	NARROW	False	False	False
es-S0210-48062006000400012-1	SINTOMA	1358	1390	adecuado desarrollo pondoestural	23397005	NARROW	False	False	False
es-S1130-01082008000500008-1	SINTOMA	1716	1743	adecuado estado nutricional	248324001	EXACT	False	False	False
es-S0365-66912009000300009-1	SINTOMA	470	501	adelgazamiento corneal superior	423459005	EXACT	False	False	False
es-S0365-66912012000800005-1	SINTOMA	978	1006	adelgazamiento en ambos ojos	128127008	NARROW	False	False	True
es-S1130-14732005000600009-1	SINTOMA	92	133	adormecimiento de piernas con parestesias	429783005	EXACT	False	False	False
es-S0365-66912007001000008-1	SINTOMA	1436	1485	afectación cerebral estructural parieto-occipital	274521009	NARROW	False	False	True
es-S1130-01082005001200011-1	SINTOMA	2510	2541	afectación de la memoria visual	9236007	NARROW	False	False	True
es-S1134-80462009000500006-1	SINTOMA	1472	1501	afectación de la sensibilidad	85972008	NARROW	False	False	True
es-S0212-71992005000500009-1	SINTOMA	383	416	afectación de parénquima pulmonar	301232003	NARROW	False	False	False
es-S0365-66912012000300005-1	SINTOMA	1618	1661	afectación del tercio inferior de la vagina	25658005	NARROW	False	False	False
